max_depth	min_split	vmin_bucket	ganancia_promedio
16	3000	3	7954000
16	2000	3	8868667
16	1200	3	8649333
16	1000	3	8350667
16	800	3	8164000
16	600	3	8054667
16	400	3	7974000
16	200	3	7502667
16	100	3	7291333
16	3000	5	7662000
16	2000	5	8391333
16	1200	5	8407333
16	1000	5	7924000
16	800	5	7489333
16	600	5	6822000
16	400	5	6713333
16	200	5	5894667
16	100	5	5692000
16	3000	7	7406667
16	2000	7	8018667
16	1200	7	8294667
16	1000	7	7962667
16	800	7	7360667
16	600	7	6870667
16	400	7	6808000
16	200	7	5604000
16	100	7	5054000
16	3000	10	7400000
16	2000	10	7812667
16	1200	10	8028000
16	1000	10	7794000
16	800	10	7562667
16	600	10	6825333
16	400	10	6565333
16	200	10	5496000
16	100	10	4996667
16	3000	20	7406667
16	2000	20	8030667
16	1200	20	8416000
16	1000	20	8266000
16	800	20	7581333
16	600	20	7169333
16	400	20	6879333
16	200	20	5892667
16	100	20	6124667
16	3000	40	7580000
16	2000	40	7856667
16	1200	40	7980667
16	1000	40	7735333
16	800	40	6860000
16	600	40	6886667
16	400	40	6823333
16	200	40	5161333
16	100	40	4868667
16	3000	100	7934667
16	2000	100	8152667
16	1200	100	8716667
16	1000	100	7924000
16	800	100	7412667
16	600	100	7546000
16	400	100	6738667
16	200	100	4805333
16	3000	150	7958000
16	2000	150	8310667
16	1200	150	8632667
16	1000	150	8300000
16	800	150	7998000
16	600	150	8068667
16	400	150	7486667
16	3000	200	8170667
16	2000	200	8550667
16	1200	200	8740667
16	1000	200	8398000
16	800	200	8260667
16	600	200	8118667
16	400	200	7917333
16	3000	300	8290667
16	2000	300	8957333
16	1200	300	8996667
16	1000	300	8858000
16	800	300	8943333
16	600	300	9391333
16	3000	400	8338667
16	2000	400	8944667
16	1200	400	8960000
16	1000	400	8607333
16	800	400	8491333
16	3000	600	8301333
16	2000	600	8982667
16	1200	600	8934667
18	3000	3	7904667
18	2000	3	8762000
18	1200	3	8376667
18	1000	3	8017333
18	800	3	7985333
18	600	3	7528000
18	400	3	7064000
18	200	3	6232667
18	100	3	5825333
18	3000	5	7628667
18	2000	5	8334000
18	1200	5	8372000
18	1000	5	7871333
18	800	5	7449333
18	600	5	6568000
18	400	5	6268667
18	200	5	5543333
18	100	5	5092000
18	3000	7	7374000
18	2000	7	7967333
18	1200	7	8258667
18	1000	7	7919333
18	800	7	7296667
18	600	7	6876000
18	400	7	6770000
18	200	7	5284000
18	100	7	4721333
18	3000	10	7338000
18	2000	10	7737333
18	1200	10	7945333
18	1000	10	7702667
18	800	10	7443333
18	600	10	6694667
18	400	10	6473333
18	200	10	5233333
18	100	10	4508667
18	3000	20	7340667
18	2000	20	7964667
18	1200	20	8318000
18	1000	20	8168000
18	800	20	7474000
18	600	20	7085333
18	400	20	6795333
18	200	20	5663333
18	100	20	5876000
18	3000	40	7580000
18	2000	40	7856667
18	1200	40	7862667
18	1000	40	7617333
18	800	40	6729333
18	600	40	6742667
18	400	40	6679333
18	200	40	5009333
18	100	40	4585333
18	3000	100	7934667
18	2000	100	8152667
18	1200	100	8716667
18	1000	100	7924000
18	800	100	7412667
18	600	100	7546000
18	400	100	6738667
18	200	100	4781333
18	3000	150	7958000
18	2000	150	8310667
18	1200	150	8632667
18	1000	150	8300000
18	800	150	7998000
18	600	150	8068667
18	400	150	7486667
18	3000	200	8170667
18	2000	200	8550667
18	1200	200	8740667
18	1000	200	8398000
18	800	200	8260667
18	600	200	8118667
18	400	200	7917333
18	3000	300	8290667
18	2000	300	8957333
18	1200	300	8996667
18	1000	300	8858000
18	800	300	8943333
18	600	300	9391333
18	3000	400	8338667
18	2000	400	8944667
18	1200	400	8960000
18	1000	400	8607333
18	800	400	8491333
18	3000	600	8301333
18	2000	600	8982667
18	1200	600	8934667
20	3000	3	7897333
20	2000	3	8730667
20	1200	3	8332000
20	1000	3	7951333
20	800	3	7862000
20	600	3	7361333
20	400	3	6510000
20	200	3	5526000
20	100	3	4992000
20	3000	5	7616667
20	2000	5	8318000
20	1200	5	8308000
20	1000	5	7798000
20	800	5	7354667
20	600	5	6464667
20	400	5	6138000
20	200	5	5211333
20	100	5	4619333
20	3000	7	7360000
20	2000	7	7919333
20	1200	7	8250667
20	1000	7	7906000
20	800	7	7261333
20	600	7	6840667
20	400	7	6416667
20	200	7	4908000
20	100	7	4222000
20	3000	10	7292667
20	2000	10	7674667
20	1200	10	7891333
20	1000	10	7642000
20	800	10	7373333
20	600	10	6611333
20	400	10	6400667
20	200	10	5148667
20	100	10	4388667
20	3000	20	7300000
20	2000	20	7919333
20	1200	20	8261333
20	1000	20	8111333
20	800	20	7417333
20	600	20	7028667
20	400	20	6763333
20	200	20	5614667
20	100	20	5840000
20	3000	40	7549333
20	2000	40	7826000
20	1200	40	7832000
20	1000	40	7572667
20	800	40	6684667
20	600	40	6712000
20	400	40	6648667
20	200	40	4964000
20	100	40	4508667
20	3000	100	7934667
20	2000	100	8152667
20	1200	100	8716667
20	1000	100	7924000
20	800	100	7412667
20	600	100	7546000
20	400	100	6705333
20	200	100	4748000
20	3000	150	7958000
20	2000	150	8310667
20	1200	150	8632667
20	1000	150	8300000
20	800	150	7998000
20	600	150	8068667
20	400	150	7486667
20	3000	200	8170667
20	2000	200	8550667
20	1200	200	8740667
20	1000	200	8398000
20	800	200	8260667
20	600	200	8118667
20	400	200	7917333
20	3000	300	8290667
20	2000	300	8957333
20	1200	300	8996667
20	1000	300	8858000
20	800	300	8943333
