fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 204301	-0.344031653818092	5479	921	4	5	8984000	1
20220520 204344	-0.689802958618384	5639	1106	8	5	8673000	2
20220520 204430	-0.080032286333153	4716	1575	18	5	8624000	3
20220520 204512	-0.554865592315036	2803	687	7	5	9903000	4
20220520 204600	-0.924569466539833	3002	840	13	5	10103000	5
20220520 204629	0.0161907692017849	7239	271	11	5	0	6
20220520 204717	-0.433945405301347	4359	1251	12	5	9379000	7
20220520 204803	-0.216883308875549	7565	1195	15	5	7747000	8
20220520 204839	-0.992896146132262	3783	1865	5	5	8211000	9
20220520 204934	-0.818711684005393	944	94	10	5	8546000	10
20220520 205028	-0.605864068126539	6719	416	20	5	7995000	11
20220520 205051	-0.471644271718105	6139	138	3	5	8026000	12
20220520 205116	-0.47836148586357	4614	1359	3	5	7757000	13
20220520 205213	-0.254944871872431	2354	719	20	5	10051000	14
20220520 205311	-0.97408834247035	6421	112	13	5	8131000	15
20220520 205350	-0.411092284484766	7674	1705	8	5	7521000	16
20220520 205451	-0.284909305377463	3198	1597	20	5	9283000	17
20220520 205550	-0.396494371809903	1743	863	19	5	10291000	18
20220520 205644	-0.366991680753395	2585	767	14	5	10001000	19
20220520 205734	-0.26433639686676	2082	1035	20	5	10605000	20
20220520 205826	-0.999614813132791	2047	1022	20	5	10560000	21
20220520 205917	-0.730132955747879	1929	962	20	5	10588000	22
20220520 210007	-0.557363820234937	3289	940	20	5	10002000	23
20220520 210058	-0.869286508106915	2049	1023	20	5	10565000	24
20220520 210147	-0.999517392116881	4337	1089	20	5	9342000	25
20220520 210240	-0.938748248157083	1516	758	20	5	9628000	26
20220520 210331	-0.997550730337537	1985	989	10	5	10500000	27
20220520 210427	-0.997048471668279	2310	1154	15	5	9852000	28
20220520 210527	-0.787275992618467	1927	963	13	5	10588000	29
20220520 210553	-0.862832044978123	1778	889	3	5	8404000	30
20220520 210649	-0.996999137638728	1989	979	14	5	10673000	31
20220520 210742	-0.29072737805141	1992	994	10	5	10500000	32
20220520 210829	-0.183011283722341	4015	2000	11	5	7870000	33
20220520 210920	-0.64219364332411	2011	1003	13	5	10676000	34
20220520 211011	-0.716613989162704	2014	1005	17	5	10685000	35
20220520 211102	-0.46571809384517	2029	1014	12	5	10685000	36
20220520 211154	-0.351003785416483	2050	1025	15	5	10565000	37
20220520 211249	-0.469219525508139	1109	548	20	5	10267000	38
20220520 211428	-0.485442246633299	50	1	20	5	7133000	39
20220520 211520	-0.999991908330725	2992	480	10	5	9827000	40
20220520 211609	-0.960595089043817	4022	2000	20	5	7870000	41
20220520 211703	-0.673826239982608	2286	555	12	5	9885000	42
20220520 211754	-0.950993033035504	2002	1001	13	5	10673000	43
20220520 211843	-0.160634457730823	2500	1248	20	5	9762000	44
20220520 211939	-0.540002792692133	1993	996	13	5	10500000	45
20220520 212034	-0.411436247560799	2063	1024	11	5	10565000	46
20220520 212130	-0.727535056351276	2073	1015	13	5	10554000	47
20220520 212218	-0.447297455062101	1093	545	8	5	10097000	48
20220520 212309	-0.458060126384791	2014	1003	18	5	10676000	49
20220520 212400	-0.949419794619963	1967	982	17	5	10493000	50
20220520 212451	-0.661555299034037	2042	1018	20	5	10690000	51
20220520 212542	-0.270068392740679	2042	1012	17	5	10685000	52
20220520 212639	-0.452411333063505	1997	994	13	5	10500000	53
20220520 212736	-0.310384486075028	2106	1043	18	5	10500000	54
20220520 212759	-0.999874065085379	4165	2	3	5	8073000	55
20220520 212849	-0.638529303714091	2012	1006	16	5	10685000	56
20220520 212940	-0.239743013737761	2084	1035	12	5	10605000	57
20220520 213036	-0.234877953788064	2030	1015	17	5	10684000	58
20220520 213139	-0.844693008878571	2019	1005	12	5	10685000	59
20220520 213233	-0.999488815812211	1977	987	12	5	10500000	60
20220520 213326	-0.636725526571694	2008	1003	10	5	10676000	61
20220520 213430	-0.861259693794643	1999	997	14	5	10673000	62
20220520 213527	-0.911849539816819	1350	675	9	5	9690000	63
20220520 213555	-0.263413651481654	1419	706	3	5	8379000	64
20220520 213649	-0.662795196900099	2036	1013	18	5	10685000	65
20220520 213739	-0.486220844823509	2051	1020	11	5	10560000	66
20220520 213835	-0.342443947763013	2031	498	20	5	10219000	67
20220520 213925	-0.295554524269359	2031	877	9	5	10471000	68
20220520 214004	0.00739321266084813	1216	608	16	5	0	69
20220520 214103	-0.801164987174251	2059	1026	20	5	10565000	70
