fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220524 224159	1843	18	345	13	5	11520000	1
20220525 013141	2227	10	308	34	5	11170000	2
20220525 023943	442	20	424	32	5	10697000	3
20220525 024452	1012	2	192	9	5	6207000	4
20220525 050323	1183	16	253	41	5	10444000	5
20220525 051010	653	3	33	15	5	9713000	6
20220525 065620	759	26	81	43	5	8871000	7
20220525 094658	2151	29	148	23	5	9938000	8
20220525 135910	1476	23	406	46	5	10291000	9
20220525 161705	1398	14	442	6	5	11443000	10
20220525 175138	210	9	160	27	5	11087000	11
20220526 005115	2457	13	238	22	5	11209000	12
20220526 013050	385	5	487	36	5	10685000	13
20220526 080118	1906	22	112	50	5	9498000	14
20220526 081915	1718	7	23	3	5	9964000	15
20220526 091714	939	28	325	19	5	10837000	16
20220526 105210	1783	14	366	18	5	11530000	17
20220526 112122	1799	15	421	3	5	11118000	18
20220526 121256	944	12	465	22	5	11382000	19
20220526 121739	100	13	329	17	5	10838000	20
20220526 165207	2498	13	441	40	5	11212000	21
20220526 212303	2308	11	148	50	5	10958000	22
20220526 215812	2497	12	368	2	5	10363000	23
20220526 230942	1150	10	16	29	5	10997000	24
20220527 031733	2350	16	458	16	5	11622000	25
20220527 042759	1592	14	500	13	5	11647000	26
20220527 053440	1598	22	457	11	5	11537000	27
20220527 062134	1270	18	463	12	5	11632000	28
20220527 091312	2500	20	374	19	5	11214000	29
20220527 101850	1624	15	446	14	5	11788000	30
20220527 111312	1691	30	500	9	5	11883000	31
20220527 112946	100	30	500	6	5	11337000	32
20220527 145302	2499	30	444	9	5	11894000	33
