fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220521 130543	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.169664147019503	0.481609219573438	1774	520	0.0408006420029172	9042000	1
20220521 130632	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.0957776807424379	0.955905296383426	3672	643	0.0268343506705908	11857000	2
20220521 130659	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	0.185243558907881	0.643981572678313	2636	823	0.0313019191244772	10957000	3
20220521 130724	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.157832347507705	0.305529836323112	5482	432	0.0373826275080016	10477000	4
20220521 130814	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	134	TRUE	0.0653981569663156	0.724497425919399	4192	718	0.023017924890155	12717000	5
20220521 130842	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	63	TRUE	0.10564531692164	0.692201795680448	7047	407	0.0494636804549373	7534000	6
20220521 130907	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.274884178636479	0.527461514389142	3271	42	0.0198801750394826	12042000	7
20220521 130945	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.148516867771395	0.22611770324409	691	728	0.02799965517479	9919000	8
20220521 131023	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	6	TRUE	0.254977868330083	0.5896021584142	322	342	0.0343424415730018	6888000	9
20220521 131236	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	345	TRUE	0.0162924240452703	0.628274165000767	7288	524	0.0149781098691165	13238000	10
20220521 131309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	0.238836721583735	0.788749627387151	6396	811	0.00878811281290837	11283000	11
20220521 131337	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	0.11632534011174	0.820285053048283	4992	219	0.0306210996141696	11418000	12
20220521 131406	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	0.129208551356453	0.279593881675974	5637	150	0.0133262709840589	12647000	13
20220521 131436	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	0.21064154529653	0.398928059265018	3080	952	0.0444412010421123	8909000	14
20220521 131539	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0491742083641002	0.88306680880487	2066	1007	0.0112735727224693	12905000	15
20220521 131559	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.285611808916554	0.420207212166861	4473	67	0.0475800218007256	8360000	16
20220521 131628	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.0729776381946867	0.871651644650847	6511	905	0.0437354291245962	8524000	17
20220521 131651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	11	TRUE	0.223206691156956	0.963082350604236	1207	176	0.0183928405264548	11289000	18
20220521 131714	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	0.26712985932047	0.344125520065427	7775	615	0.0229086908870765	12096000	19
