fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220525 194849	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	0.161634823957109	0.51389365109615	6038	626	0.0335800418033614	10871000	1
20220525 194912	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.177687967102625	0.650407920088619	1343	433	0.0413251650844662	8593000	2
20220525 194931	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	75	TRUE	0.0786415243807714	0.559287884300575	5671	506	0.0445336793030341	8927000	3
20220525 194940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	27	TRUE	0.227675457666046	0.725659714899957	3314	525	0.0147824219723892	12764000	4
20220525 194954	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	62	TRUE	0.119726895810687	0.32900163189508	4362	731	0.0356197434099158	10666000	5
20220525 195007	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	0.144691473953193	0.450030879378319	1627	103	0.0171710520997294	12586000	6
20220525 195030	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	104	TRUE	0.0673533702905988	0.247225179923698	5450	196	0.0302350936719449	11952000	7
20220525 195053	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	37	TRUE	0.0877868471039692	0.90087400155142	514	937	0.0429104393178325	7247000	8
20220525 195101	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	35	TRUE	0.208202517638798	0.788191330656409	7271	343	0.032423602960868	11153000	9
20220525 195118	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.127494753020583	0.569614378530532	3692	897	0.0232185142604673	12276000	10
20220525 195131	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1	TRUE	0.196480541240773	0.70661654937081	39	312	0.0391058516640139	4385000	11
20220525 195142	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	40	TRUE	0.26101814558683	0.40945186839439	6860	803	0.0262172460235888	12317000	12
20220525 195151	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.295499244819279	0.286285187257454	2967	259	0.0219267490038571	12085000	13
20220525 195238	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	242	TRUE	0.0222703302266309	0.942402045894414	2242	572	0.020110178917336	13410000	14
20220525 195302	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	185	TRUE	0.0292065387186594	0.80154009334743	7683	404	0.0131634011195274	12889000	15
20220525 195312	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	0.224317178105353	0.369496049135923	2709	1000	0.0458975885165273	7618000	16
20220525 195324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	0.104757835709257	0.621752395816147	5125	146	0.0493251776477943	7384000	17
20220525 195332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	7	TRUE	0.250751323096571	0.879254961535335	945	42	0.01195753281548	11434000	18
20220525 195353	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	91	TRUE	0.0413912486089393	0.221902121352032	4551	714	0.00884809825996247	11789000	19
20220525 195400	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.272900449776556	0.972142096795142	6579	864	0.0278031921639922	12103000	20
20220525 195507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	405	TRUE	0.0102666680786499	0.909429321405285	3266	55	0.015562533244486	13400000	21
20220525 195708	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	745	TRUE	0.0101787024327552	0.63553625746107	2895	384	0.0184494658461384	13595000	22
20220525 195832	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	704	TRUE	0.0102479250932385	0.998520681036673	4533	428	0.0196132310583851	12557000	23
20220525 195924	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	175	TRUE	0.0347057186758649	0.859535060848068	2303	206	0.00835127334066677	11822000	24
20220525 195952	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	155	TRUE	0.05864403754094	0.200958600016937	6933	16	0.0163659301433728	13456000	25
20220525 195959	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	15	TRUE	0.299613878882514	0.673235348418767	6965	16	0.0143377502895665	12499000	26
20220525 200139	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	817	TRUE	0.0123807938775064	0.323323892780702	3380	17	0.0192173297390267	13338000	27
20220525 200205	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	199	TRUE	0.0496979611697133	0.200888671454976	7994	490	0.018407524988192	13397000	28
