fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	ganancia	iteracion
20220611 225056	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	23	TRUE	0.191112515046095	0.577726750069165	4896	719	0.022506497996316	57.3230892386554	23.048027115874	10495000	1
20220611 225103	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	50	TRUE	0.126428965271002	0.818346644246152	1985	170	0.0253442373631905	29.0346066010118	33.5425429545077	11719000	2
20220611 225117	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	83	TRUE	0.22329412281006	0.4916486169012	6232	466	0.0423669351098527	24.4930048298556	91.7104968052757	8942000	3
20220611 225125	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	44	TRUE	0.18280754257559	0.887758359652279	3528	562	0.0457812497107495	20.7778515942794	26.0711966440015	7794000	4
20220611 225133	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	38	TRUE	0.240178990285744	0.601030668177243	4294	80	0.0327773714097843	54.8061513366909	67.9525645832265	10569000	5
20220611 225206	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	295	TRUE	0.0352301022071957	0.32040734652962	4843	613	0.0312161957708581	79.5650477354814	58.7565884842271	7894000	6
20220611 225227	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	164	TRUE	0.11055623240902	0.444973193142297	5461	438	0.0174192250846924	45.5397511832416	36.1069359666934	12014000	7
20220611 225244	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	140	TRUE	0.025114478547309	0.782127386697435	4074	801	0.0235497010648639	72.5564171052871	85.7477458909021	10853000	8
20220611 225254	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	100	TRUE	0.116317889574483	0.653464966905968	2487	630	0.040238958167971	28.4872705291491	54.8598894283974	9328000	9
20220611 225301	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	11	TRUE	0.290492733102375	0.289046221545764	5754	329	0.00973371878998088	62.1475353737229	11.465355279922	11224000	10
20220611 225307	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	38	TRUE	0.200277206318902	0.871197288762778	7710	346	0.0269532702907565	76.0246277337761	18.8567823522525	9785000	11
20220611 225313	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	13	TRUE	0.237368496103029	0.996100806750889	2142	879	0.0204203283701125	48.3492651247486	67.0960306123431	11457000	12
20220611 225319	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	33	TRUE	0.150841462075062	0.767502299230546	1293	284	0.0491905580917817	51.0624715551135	4.35238430758805	7114000	13
20220611 225452	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	776	TRUE	0.0156191997781363	0.528584093773471	7776	236	0.0166425196413738	17.0224281634936	79.2899440516651	12647000	14
20220611 225527	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	94	TRUE	0.061329207427833	0.571043154783547	980	763	0.0152399703873449	7.082947116578	48.4712719917297	13090000	15
20220611 225537	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	37	TRUE	0.280264710733401	0.479351059247607	3335	844	0.0368335057984777	66.9733495617818	62.1012815823113	4405000	16
20220611 225554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	146	TRUE	0.0929936647461727	0.242867484482537	5173	940	0.0394434087410835	38.8497216618686	52.9173284311712	8823000	17
20220611 225601	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	46	TRUE	0.141418336163957	0.929845418355295	2576	518	0.0138786749991206	35.1932095155852	15.6276826513931	11764000	18
20220611 225606	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1	TRUE	0.174982469190727	0.971289891377092	3918	1016	0.0438428930631961	68.5132579537042	82.9987589469446	0	19
20220611 225617	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	52	TRUE	0.213477733257709	0.402219686850107	7026	19	0.048342578206835	41.1767042300198	45.8448387882007	2878000	20
20220611 225623	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1	TRUE	0.0866479002913859	0.670080574329144	84	899	0.045296431237269	98.8487508954547	1.04032496456057	0	21
20220611 225645	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	66	TRUE	0.274770648449027	0.357439518294164	3112	385	0.0201824779684622	1.38938792099777	30.8787641872186	12663000	22
20220611 225653	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1	TRUE	0.0455184042552719	0.724775487177872	6852	125	0.0299498977372423	95.4489733175641	94.4870289373544	0	23
20220611 225700	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	14	TRUE	0.256785169591728	0.217184044001624	6366	983	0.0114316226278398	88.5962814890913	78.0612794125253	11157000	24
20220611 225711	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	15	TRUE	0.0773879369872156	0.37631564594007	1663	681	0.0103465744214537	84.8650775342581	10.0647420140116	11404000	25
20220611 225716	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	22	TRUE	0.261542273805826	0.688168820758749	528	93	0.0280500296730593	92.0487696903625	72.0993358334194	9888000	26
20220611 225753	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	390	TRUE	0.0697127499390626	0.277580432966352	776	230	0.0337806007084769	10.6304006967028	98.6236721243975	11202000	27
20220611 225802	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	84	TRUE	0.162050369954917	0.830186938966758	7422	530	0.0352469844523252	11.3444330054335	39.7948634977053	10277000	28
20220611 225820	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	129	TRUE	0.158233375663464	0.310597857378536	3567	523	0.0168136020038264	17.4202635224166	83.345685443251	13292000	29
20220611 225829	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	27	TRUE	0.184056668339247	0.315197759485782	645	76	0.0183175333534307	73.8173230929795	68.5629180692285	10982000	30
