fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220611 230048	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	82	TRUE	0.0799208607361652	0.702174815302715	4385	373	0.0285511229449185	11932000	1
20220611 230058	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.127836865664809	0.6337646213267	7285	861	0.0316743651890041	11003000	2
20220611 230124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	0.0543601981051033	0.418689691014588	3997	701	0.0245784099456311	12934000	3
20220611 230135	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.259553030082956	0.519175753165037	3532	493	0.0393186175002484	9326000	4
20220611 230144	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	0.155452761288616	0.797496462734416	5706	754	0.0424803266946886	9003000	5
20220611 230155	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	0.203665383801213	0.459299765750766	4983	150	0.0336882823539781	11394000	6
20220611 230204	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.293495157885365	0.574473704434931	6356	881	0.0188287490648994	12686000	7
20220611 230234	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	162	TRUE	0.0327501101768576	0.237461281009018	2783	345	0.0115348462063897	13056000	8
20220611 230255	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	0.173839646665263	0.958791457209736	260	618	0.0169253858136168	8752000	9
20220611 230307	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	0.101203394627315	0.881730976644904	4626	1023	0.0160130642276878	12880000	10
