fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220601 033546	0	0	0	1	auto	depthwise	256	0	1	0.124111858119722	0.590144880292937	8	11	0.0427594493861155	43	7846000	1
20220601 034212	0	0	0	1	auto	depthwise	256	0	1	0.162653315996518	0.910792962359265	8	18	0.0238165732487687	14	10832000	2
20220601 034449	0	0	0	1	auto	depthwise	256	0	1	0.19588687644084	0.269975313479081	6	14	0.0251876954527688	23	10275000	3
20220601 035255	0	0	0	1	auto	depthwise	256	0	1	0.102982865759288	0.846161746364087	5	15	0.0407124954348546	26	7908000	4
20220601 035548	0	0	0	1	auto	depthwise	256	0	1	0.180685769006377	0.495344921248034	9	10	0.0125467137176505	18	12124000	5
20220601 040512	0	0	0	1	auto	depthwise	256	0	1	0.0733592190253548	0.652346278419718	7	28	0.0448865176163963	36	6991000	6
20220601 040744	0	0	0	1	auto	depthwise	256	0	1	0.254126602988457	0.559046724131331	10	8	0.0370722719642799	22	8651000	7
20220601 041107	0	0	0	1	auto	depthwise	256	0	1	0.238079504542286	0.409549274044111	3	21	0.0300295172031232	9	7568000	8
20220601 042614	0	0	0	1	auto	depthwise	256	0	1	0.0309532813121332	0.477345555871725	4	24	0.0387932765831162	87	8317000	9
20220601 042842	0	0	0	1	auto	depthwise	256	0	1	0.142253052319051	0.791326063191518	6	3	0.016394196889208	63	12981000	10
20220601 043044	0	0	0	1	auto	depthwise	256	0	1	0.26581939901656	0.288582584867254	8	19	0.0182035304431338	9	10657000	11
20220601 043357	0	0	0	1	auto	depthwise	256	0	1	0.0643984175905352	0.325941019821912	6	5	0.0320140462116494	116	11262000	12
20220601 043915	0	0	0	1	auto	depthwise	256	0	1	0.205827676760615	0.957334920354188	2	7	0.0285255416141202	48	7624000	13
20220601 051628	0	0	0	1	auto	depthwise	256	0	1	0.012348901301506	0.726915872367099	0	13	0.00882412674933827	170	10734000	14
20220601 054148	0	0	0	1	auto	depthwise	256	0	1	0.0399555427252781	0.960162421576679	1	29	0.0213118569711999	46	8265000	15
20220601 054706	0	0	0	1	auto	depthwise	256	0	1	0.274904744593776	0.809341055527329	3	22	0.012446373483787	3	10068000	16
20220601 054748	0	0	0	1	auto	depthwise	256	0	1	0.227149741902715	0.384952640775591	3	2	0.0493956183238576	20	7254000	17
20220601 055000	0	0	0	1	auto	depthwise	256	0	1	0.289056244132691	0.602576867407188	0	29	0.0477312831416687	1	3173000	18
20220601 055343	0	0	0	1	auto	depthwise	256	0	1	0.0832455485038226	0.200636617550626	1	26	0.0205735126621827	15	8286000	19
20220601 055848	0	0	0	1	auto	depthwise	256	0	1	0.132866359444684	0.680218140296638	10	16	0.0351041988518167	20	9125000	20
20220601 062133	0	0	0	1	auto	depthwise	256	0	1	0.0100226960796524	0.753400091655497	6	2	0.00841581329159861	1520	11633000	21
20220601 062408	0	0	0	1	auto	depthwise	256	0	1	0.0872648389098277	0.702259773122409	8	2	0.0168683414424559	128	12645000	22
20220601 062619	0	0	0	1	auto	depthwise	256	0	1	0.158879300261902	0.999837031326989	7	2	0.0140837266088087	73	13088000	23
20220601 062759	0	0	0	1	auto	depthwise	256	0	1	0.211886567897642	0.791571229356975	7	2	0.0137837939112141	67	13190000	24
20220601 062955	0	0	0	1	auto	depthwise	256	0	1	0.265178896877211	0.941795235128811	10	2	0.0144831422982829	76	12830000	25
20220601 063126	0	0	0	1	auto	depthwise	256	0	1	0.29982731985709	0.884513801870238	7	2	0.0132266861282531	51	12595000	26
20220601 063337	0	0	0	1	auto	depthwise	256	0	1	0.186699357044006	0.839783351196947	8	2	0.0147610314181565	104	12749000	27
20220601 063546	0	0	0	1	auto	depthwise	256	0	1	0.146046440988065	0.650461909054278	7	2	0.0139272821792006	119	13526000	28
20220601 063727	0	0	0	1	auto	depthwise	256	0	1	0.135684791562363	0.409066700211079	6	2	0.013755769999164	138	13250000	29
20220601 063933	0	0	0	1	auto	depthwise	256	0	1	0.147013341099751	0.557567703916497	7	2	0.0146272375081167	146	13054000	30
20220601 064213	0	0	0	1	auto	depthwise	256	0	1	0.0908702422193791	0.70541129471279	6	2	0.0133554942972078	142	12694000	31
20220601 064316	0	0	0	1	auto	depthwise	256	0	1	0.251965608501558	0.666253771615517	7	2	0.00833634369473025	28	11217000	32
20220601 064500	0	0	0	1	auto	depthwise	256	0	1	0.137372640538594	0.403499162665025	9	2	0.0138453177320082	149	13211000	33
20220601 064716	0	0	0	1	auto	depthwise	256	0	1	0.147783996619672	0.693192868518931	10	2	0.0190271679573325	125	12955000	34
20220601 064852	0	0	0	1	auto	depthwise	256	0	1	0.147193426534069	0.688869932665056	7	2	0.0132565883762479	66	12957000	35
20220601 065122	0	0	0	1	auto	depthwise	256	0	1	0.29192480784554	0.976158128955638	6	2	0.0182751843997821	114	12053000	36
20220601 065401	0	0	0	1	auto	depthwise	256	0	1	0.164360408677621	0.63424240643587	7	2	0.0166163933353079	189	13088000	37
20220601 070221	0	0	0	1	auto	depthwise	256	0	1	0.0138386583973814	0.323739833194599	7	2	0.0135439877975438	924	13312000	38
20220601 070359	0	0	0	1	auto	depthwise	256	0	1	0.185694182927443	0.636432050273132	10	2	0.0217590801951804	77	12684000	39
20220601 072450	0	0	0	1	auto	depthwise	256	0	1	0.0101015203271725	0.507635997067725	7	7	0.0139510189726916	338	13493000	40
20220601 073459	0	0	0	1	auto	depthwise	256	0	1	0.0130037318226288	0.3899139462261	7	4	0.0139539431700322	387	13698000	41
20220601 074153	0	0	0	1	auto	depthwise	256	0	1	0.0150652514738406	0.205914026198907	7	5	0.014047884323599	333	13503000	42
20220601 074404	0	0	0	1	auto	depthwise	256	0	1	0.278663418673585	0.978704086011546	10	2	0.0202052151988476	91	11859000	43
20220601 075918	0	0	0	1	auto	depthwise	256	0	1	0.0102558068264475	0.384348790364707	10	2	0.0232477320850279	1690	12751000	44
20220601 081555	0	0	0	1	auto	depthwise	256	0	1	0.010309373409815	0.367504903314724	6	4	0.0203062191696778	868	13124000	45
20220601 082348	0	0	0	1	auto	depthwise	256	0	1	0.0116770063285971	0.202145184295447	10	2	0.0198529578987468	1177	13229000	46
20220601 082458	0	0	0	1	auto	depthwise	256	0	1	0.153336978524179	0.214320825309148	7	5	0.0189799892148761	31	12103000	47
20220601 084737	0	0	0	1	auto	depthwise	256	0	1	0.0100460574064928	0.559445005640449	10	2	0.020764864741288	2052	12960000	48
20220601 084928	0	0	0	1	auto	depthwise	256	0	1	0.113409535591708	0.640194538876228	10	2	0.0142951545699168	79	12992000	49
20220601 090919	0	0	0	1	auto	depthwise	256	0	1	0.0108133291470667	0.417035176814141	0	4	0.0140153966743862	972	13730000	50
20220601 092536	0	0	0	1	auto	depthwise	256	0	1	0.0100503571374767	0.501668130996072	3	3	0.0141209836360575	827	13493000	51
20220601 092842	0	0	0	1	auto	depthwise	256	0	1	0.143158084444541	0.501481792747715	0	2	0.0163012515092385	265	12782000	52
20220601 094436	0	0	0	1	auto	depthwise	256	0	1	0.0103872295155561	0.364538638136443	1	3	0.0141288586411291	1154	13830000	53
20220601 094656	0	0	0	1	auto	depthwise	256	0	1	0.257109663549152	0.633915772814546	8	6	0.0139428412203653	19	11560000	54
20220601 095928	0	0	0	1	auto	depthwise	256	0	1	0.0101233661274058	0.37448051549631	0	2	0.00852083703683547	1245	11529000	55
20220601 102202	0	0	0	1	auto	depthwise	256	0	1	0.0107108867780761	0.32723228691942	6	14	0.0140456615499517	330	13442000	56
20220601 103147	0	0	0	1	auto	depthwise	256	0	1	0.0100457415236561	0.321660909816106	1	2	0.016367463010703	972	13116000	57
20220601 104629	0	0	0	1	auto	depthwise	256	0	1	0.0102268678805328	0.363443639114103	8	2	0.0184113984181485	1663	13322000	58
20220601 110828	0	0	0	1	auto	depthwise	256	0	1	0.0104938419804562	0.376388131131907	2	8	0.0142164955387318	447	13383000	59
