fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220601 033413	0	0	0	1	hist	lossguide	256	0	1	0.131828599243308	0.469382767919451	9	546	0.0178619011038487	25	12006000	1
20220601 033452	0	0	0	1	hist	lossguide	256	0	1	0.165170865816879	0.579660535985604	7	436	0.0415058135355745	16	7971000	2
20220601 033523	0	0	0	1	hist	lossguide	256	0	1	0.208112877534237	0.20750515749678	6	597	0.0311110608303958	11	9160000	3
20220601 033542	0	0	0	1	hist	lossguide	256	0	1	0.262594202451641	0.70935662439093	0	906	0.0213036858675575	1	479000	4
20220601 033613	0	0	0	1	hist	lossguide	256	0	1	0.228365614586743	0.503980175973848	4	646	0.035035257958225	6	8101000	5
20220601 033655	0	0	0	1	hist	lossguide	256	0	1	0.0862820432854351	0.602712306082249	7	754	0.0207598554872675	20	11653000	6
20220601 033816	0	0	0	1	hist	lossguide	256	0	1	0.0412598088487284	0.422546688690782	6	32	0.0387596681447273	144	8828000	7
20220601 033842	0	0	0	1	hist	lossguide	256	0	1	0.27874949406751	0.874950175657868	7	254	0.0111649030804983	8	11535000	8
20220601 033940	0	0	0	1	hist	lossguide	256	0	1	0.0765946223986102	0.882568720113486	3	692	0.0374618773484447	22	7030000	9
20220601 034011	0	0	0	1	hist	lossguide	256	0	1	0.154608407523367	0.240391365559772	9	393	0.0457590725612439	21	7021000	10
20220601 034058	0	0	0	1	hist	lossguide	256	0	1	0.125013165567187	0.530503297196701	1	1004	0.0256135224262835	8	6936000	11
20220601 034135	0	0	0	1	hist	lossguide	256	0	1	0.174139685441391	0.747635286273435	3	353	0.0433916905240039	12	5928000	12
20220601 034201	0	0	0	1	hist	lossguide	256	0	1	0.290751697931555	0.281638973001391	5	262	0.0464083305002229	6	6779000	13
20220601 034411	0	0	0	1	hist	lossguide	256	0	1	0.0252028637675103	0.80809250343591	2	149	0.00953197626658948	39	12051000	14
20220601 034443	0	0	0	1	hist	lossguide	256	0	1	0.249590368613484	0.991600725669414	1	161	0.0147660970522945	1	7780000	15
20220601 034512	0	0	0	1	hist	lossguide	256	0	1	0.188971132432343	0.936345301745459	8	968	0.0237792392120658	13	10812000	16
20220601 034547	0	0	0	1	hist	lossguide	256	0	1	0.109135271387408	0.760982750589028	10	97	0.0285615634507849	27	9984000	17
20220601 034810	0	0	0	1	hist	lossguide	256	0	1	0.0151696759621846	0.362801165711135	10	770	0.0327360312250676	203	9873000	18
20220601 035023	0	0	0	1	hist	lossguide	256	0	1	0.0676891418761807	0.644204103462398	0	858	0.0492060423882019	1	737000	19
20220601 035052	0	0	0	1	hist	lossguide	256	0	1	0.220663870125543	0.346659575840458	4	482	0.0138178498212559	13	10553000	20
20220601 035212	0	0	0	1	hist	lossguide	256	0	1	0.0583353483014294	0.992111801599547	5	2	0.0083363498535139	518	10728000	21
20220601 035351	0	0	0	1	hist	lossguide	256	0	1	0.0177686503700224	0.590649910039233	8	597	0.008352794777708	23	12263000	22
20220601 035538	0	0	0	1	hist	lossguide	256	0	1	0.0105522497392426	0.314117390629151	2	13	0.00834341000792052	97	12576000	23
20220601 035608	0	0	0	1	hist	lossguide	256	0	1	0.156825616686203	0.643017337067691	10	871	0.00834869565719984	18	11416000	24
20220601 035919	0	0	0	1	hist	lossguide	256	0	1	0.0100063380672974	0.310517771847766	4	1024	0.00867976109693539	39	12618000	25
20220601 035955	0	0	0	1	hist	lossguide	256	0	1	0.0865069819215771	0.372909072033708	8	1024	0.00839248494484323	12	11788000	26
20220601 040329	0	0	0	1	hist	lossguide	256	0	1	0.0102047887272741	0.428876062803332	3	201	0.00836118665663217	45	12530000	27
20220601 040654	0	0	0	1	hist	lossguide	256	0	1	0.010278157606376	0.215345482506854	3	1014	0.00841020094747027	36	12836000	28
20220601 041008	0	0	0	1	hist	lossguide	256	0	1	0.0120923300087946	0.212853098062455	7	587	0.0132149788615479	241	13312000	29
20220601 041243	0	0	0	1	hist	lossguide	256	0	1	0.0108387081421692	0.200254321006333	7	151	0.00990542345710437	51	12707000	30
20220601 041815	0	0	0	1	hist	lossguide	256	0	1	0.0101370943566547	0.20063612607112	4	622	0.0125535195855541	542	13069000	31
20220601 042118	0	0	0	1	hist	lossguide	256	0	1	0.0100701224659929	0.20016243074659	6	697	0.0108636618180017	67	12898000	32
20220601 042450	0	0	0	1	hist	lossguide	256	0	1	0.010187853558845	0.200392712997605	8	464	0.0149689564312179	281	13311000	33
20220601 042819	0	0	0	1	hist	lossguide	256	0	1	0.0100261816753147	0.232050292004022	7	436	0.0150922373271358	215	13170000	34
20220601 042840	0	0	0	1	hist	lossguide	256	0	1	0.299842285968044	0.471453077338473	10	2	0.0100580197424954	84	11828000	35
20220601 043259	0	0	0	1	hist	lossguide	256	0	1	0.0101436327800363	0.200267667010533	8	965	0.0152352850361187	394	13290000	36
