Feature	Gain	Cover	Frequency
Visa_mpagospesos	0.369365374770638	0.0139159055219393	0.0191744970102325
ctrx_quarter	0.0659349411892048	0.0287115079252255	0.0359862597917159
mrentabilidad_annual	0.0474493694530528	0.00996286690077499	0.0275894658403155
mcuenta_corriente	0.0430470450387871	0.00789321930126412	0.0175932825648389
mpayroll	0.0374372974070253	0.105553826889194	0.0332600279893132
ctarjeta_visa_trx	0.0314801964825981	0.0160288492645418	0.00965086058050563
Visa_mconsumospesos	0.0297327033854208	0.0404924304522698	0.025717453335999
Visa_msaldopesos	0.0275091584746013	0.0450516590625577	0.0189563984660402
mcuentas_saldo	0.0245285280618494	0.0115570498443733	0.0236091674088075
mactivos_margen	0.0215811026897064	0.0125456673977913	0.0253357808836626
Master_fechaalta	0.0202369475103294	0.0112277231603862	0.0269351702077389
Master_mpagospesos	0.020182155223765	0.0150213142805922	0.0122316933534469
ccomisiones_otras	0.0180387049464177	0.00714339149542196	0.0113774740553607
Visa_mpagominimo	0.0139406096137789	0.0390615757337687	0.0270260446011523
ccajas_consultas	0.0135646502106815	0.000813336322626733	0.0008360444194035
Master_Fvencimiento	0.0135550845806458	0.006326925140344	0.0243543374347976
mpasivos_margen	0.0130163220572629	0.017428770793684	0.0290252812562476
Visa_msaldototal	0.0101719888577832	0.0548962521420144	0.0266807219061813
mcomisiones_otras	0.0100620427288611	0.00582351950522183	0.00528888969666128
Visa_mlimitecompra	0.00952066542600613	0.00216760699998487	0.0025081332582105
Visa_Fvencimiento	0.00787121608453482	0.00802856314778861	0.0255175296704895
mtransferencias_recibidas	0.00766761552681341	0.00895693593383014	0.0145035531887825
mtarjeta_visa_consumo	0.00752433152293043	0.0451644809854936	0.022427800294433
mcaja_ahorro	0.00634897705973634	0.00675390215096176	0.0189745733447229
cliente_antiguedad	0.00604687167951813	0.00581530998784271	0.0240635393758747
Master_mlimitecompra	0.00598223545741954	0.00117890558022989	0.00121771687173988
Visa_fechaalta	0.00577241426405321	0.00896193800367773	0.0209011104850875
ctarjeta_debito_trx	0.0056087238413081	0.0117545720758481	0.0112502499045819
Visa_cconsumos	0.00557632432925938	0.0109564806592618	0.00837861907271769
cliente_edad	0.00541077961286526	0.00834358329034504	0.0284618600170844
Master_mfinanciacion_limite	0.00487436638881069	0.00332750952391255	0.0195016448265208
numero_de_cliente	0.00469099220403973	0.00985331048668085	0.0332055033532651
ctarjeta_debito	0.00459824007645978	0.00124467145037868	0.00459824430671925
chomebanking_trx	0.00449631212519342	0.0118388712335164	0.0210828592719144
Visa_mpagosdolares	0.00445791369269098	0.0174584893873511	0.00676105486995874
mrentabilidad	0.00440264966213741	0.00854972557371573	0.0244088620708457
mcomisiones	0.00425831898128546	0.00621651716036655	0.0175387579287908
mcaja_ahorro_dolares	0.00348163777147932	0.00645525588436673	0.0128859889860235
ctarjeta_visa_trx2	0.00341929587862876	0.000949750491284164	0.00408934770360408
mtarjeta_visa_debitos_automaticos	0.00339737719111291	0.0107204250715674	0.0110321513603897
Visa_mfinanciacion_limite	0.00338386481439054	0.00325634981669162	0.0159211937260319
ccallcenter_trx	0.00300953111827781	0.00483627900186858	0.0034714018283928
cextraccion_autoservicio	0.00300644538944968	0.00246022486044045	0.00350775158575817
ctarjeta_visa_debitos_automaticos	0.00279686876530037	0.00312465914088827	0.00396212355282529
Visa_mpagado	0.00261776619355231	0.0138458900330643	0.00881481616110212
cpayroll_trx	0.0026079797820369	0.0079855983646998	0.00381672452336381
matm	0.0021970944643234	0.00203863758154965	0.00252630813689319
mautoservicio	0.00203246527921652	0.00750334464083606	0.0101779320623035
internet	0.00197950569990905	0.00136844291535403	0.0014358154159321
mtransferencias_emitidas	0.00186197067031768	0.00426482492468453	0.00770614856145835
mcuenta_debitos_automaticos	0.00182889852753942	0.007903703179866	0.00734265098780466
cproductos	0.00179766935874942	0.00230771363338147	0.00723360171570855
mforex_sell	0.00161017002133559	0.000432008404359407	0.000781519783355446
Master_mconsumospesos	0.00144475267502614	0.0151506033294726	0.00845131858744843
cmobile_app_trx	0.00126786968362972	0.00023614649176588	0.00232638447138365
Master_mpagominimo	0.0012514878421573	0.010186635776861	0.00786972246960252
Master_msaldototal	0.00118007160629361	0.0142075240240855	0.0104869049999091
Visa_mconsumosdolares	0.00116024564279996	0.010632423479036	0.00690645389942022
ctransferencias_recibidas	0.00112703014074194	0.00380381988092959	0.00677922974864143
cseguro_vida	0.00111041649506177	0.000425280330107849	0.000926918812816924
mtarjeta_visa_descuentos	0.00107953697242156	0.0354825399221373	0.0127951145926101
ccuenta_debitos_automaticos	0.000993106733597189	0.00276597982543184	0.00325330328420058
ccajas_extracciones	0.000934219547686923	0.000303564470105625	0.000327147816288326
Visa_madelantopesos	0.000858538720057677	0.00024177785237985	0.000109049272096109
Master_fultimo_cierre	0.000741352709777322	0.00152754028901734	0.00416204721833482
ctarjeta_master_trx	0.000715633080389935	0.00834985508480513	0.00434379600516167
cpagomiscuentas	0.000706198264087642	0.00518651127640405	0.00432562112647898
Master_cconsumos	0.000687300185513787	0.00411171724962051	0.00332600279893132
Master_msaldopesos	0.000666450997790667	0.00834302027157922	0.00519801530324785
mextraccion_autoservicio	0.000598285356623299	0.00368573197309962	0.00398029843150797
cseguro_vivienda	0.000569678911922876	0.000739437763701239	0.000945093691499609
ccaja_seguridad	0.000557595788873661	0.00221645474269863	0.00105414296359572
mpagomiscuentas	0.000513457977653482	0.00803778668542409	0.00587048581450719
catm_trx_other	0.000486698548213603	0.00110634008552805	0.00123589175042257
mprestamos_personales	0.00039198134344215	0.00600141642736263	0.00508896603115174
matm_other	0.000372305635728813	0.00319535963592833	0.00267170716635467
mcomisiones_mantenimiento	0.000372180391359381	0.002155081591879	0.00327147816288326
ctransferencias_emitidas	0.000357242944992272	0.0041807351396198	0.00639755729630505
thomebanking	0.000338611582675016	0.000520300889919836	0.00196288689772996
cseguro_accidentes_personales	0.000270366955643446	0.00146774828256506	0.00156303956671089
Visa_msaldodolares	0.00026890368469124	0.0125095843461589	0.00665200559786263
minversion2	0.000254749380838935	0.00165356969383479	0.000799694662038131
mtarjeta_master_consumo	0.000194985435393095	0.0177241949508004	0.00826956980062158
cprestamos_personales	0.000183993084901942	0.00635354889023274	0.00348957670707548
Visa_fultimo_cierre	0.00017395106525793	0.00066304315491394	0.0026353574089893
mdescubierto_preacordado	0.000162252292572226	0.000951021975330309	0.00103596808491303
Master_mpagado	0.000148084169067895	0.0181091602048861	0.00632485778157431
tpaquete1	0.000121684181985149	5.65429189911891e-05	0.000145399029461478
ccomisiones_mantenimiento	8.93328473377263e-05	0.000880221192572591	0.00147216517329747
catm_trx	8.7947501666181e-05	0.0028419111166931	0.00230820959270097
ccaja_ahorro	7.21879567648942e-05	0.00156018364787732	0.00218098544192218
Master_mpagosdolares	6.32641545387037e-05	0.0148989491895756	0.0041802220970175
cplazo_fijo	6.23165489319517e-05	0.000855595572824626	0.000399847331019065
ccajas_depositos	5.93618026549944e-05	0.00014682766991359	0.000381672452336381
mplazo_fijo_dolares	4.25596033822549e-05	0.0045720020985375	0.00245360862216245
active_quarter	4.12911707366705e-05	0.000138253949770327	0.0010723178422784
mcaja_ahorro_adicional	2.87590811654357e-05	0.00264542871050141	0.00198106177641264
cinversion2	2.63509193055273e-05	0.0011546553063258	0.00041802220970175
tmobile_app	2.27020141527774e-05	0.000357170894346331	0.000345322694971011
Master_mconsumosdolares	1.46723699826797e-05	0.00207996139952725	0.000636120753893968
mcheques_depositados	1.4475252527669e-05	0.00260396061896507	0.001672088838807
ccheques_depositados	1.37665819002283e-05	0.00107911519581121	0.000763344904672761
mttarjeta_master_debitos_automaticos	1.208001463787e-05	0.00264070639060309	0.00225368495665291
mcajeros_propios_descuentos	1.20755576856688e-05	0.0031886802393409	0.00179931298958579
tpaquete9	1.18286789660421e-05	0.000304691680593029	0.000545246360480544
ctarjeta_visa_descuentos	1.14984254907021e-05	0.00636478346052239	0.00212646080587412
ccajas_trx	9.95981535112511e-06	3.76929334159351e-05	0.000272623180240272
Visa_delinquency	9.64391096095569e-06	0.000162650256666796	0.000508896603115174
Master_status	7.30831480118951e-06	0.00036626657980374	0.00045437196706712
cinversion1	7.03207748537323e-06	0.000423314456250525	0.000272623180240272
ccajas_otras	5.52813393301064e-06	0.000621603214315891	0.000508896603115174
tpaquete7	5.34747835524197e-06	0.00117367009218564	0.000672470511259337
ccheques_emitidos	5.07664275764674e-06	0.000621101775727582	0.000218098544192218
ctarjeta_master	4.09327627065044e-06	0.000440216748782768	0.000272623180240272
ccajeros_propios_descuentos	4.08174949935629e-06	0.00110171218856858	0.000654295632576653
cforex	3.95238155499215e-06	0.000142999142306009	0.00041802220970175
tcuentas	2.6683454644313e-06	0.000472685923712073	0.00045437196706712
tcallcenter	2.49049788336314e-06	0.000297299713380108	0.00049072172443249
cprestamos_prendarios	2.43568103626709e-06	0.000754222871082843	0.000327147816288326
Visa_Finiciomora	2.3657673409973e-06	0.000864039094878294	0.0008360444194035
ctarjeta_master_debitos_automaticos	1.73488299879321e-06	0.00169422492702797	0.00129041638647062
Master_msaldodolares	1.08434288278309e-06	0.00399608023285551	0.00159938932407626
minversion1_pesos	1.03646826718111e-06	0.00399502574562536	0.00127224150778794
cseguro_auto	7.89896708089175e-07	0.000842961079832881	0.000472546845749805
mprestamos_hipotecarios	7.82629750763785e-07	0.00330415069638768	0.000999618327547664
mcheques_emitidos	5.56879023077113e-07	0.00238088789212385	0.00087239417676887
Visa_status	5.09424724210166e-07	0.000463962065231257	0.000381672452336381
mtarjeta_master_descuentos	4.48065315764253e-07	0.00112287406995099	0.000599770996528598
cforex_sell	3.74562623946099e-07	0.000293619564676436	0.000181748786826848
Master_delinquency	3.12669826936859e-07	7.60820160766924e-05	0.000127224150778794
ctarjeta_master_descuentos	2.97865028528058e-07	0.000202323725887081	9.0874393413424e-05
Master_Finiciomora	1.82417405289123e-07	0.00213471497450332	0.00087239417676887
ctarjeta_visa	7.06177934729999e-08	0.000111739871245338	0.000163573908144163
cpagodeservicios	7.05686984558271e-08	0.000338955477838387	0.000181748786826848
mprestamos_prendarios	6.76373900128442e-08	0.00079053758147828	0.000399847331019065
mpagodeservicios	6.62320302131321e-08	0.000460012723180177	0.000290798058922957
ccuenta_corriente	6.33160939065252e-08	7.46263779758934e-05	3.63497573653696e-05
mforex_buy	6.21128272064593e-08	0.00102522550275396	0.000308972937605641
minversion1_dolares	3.83041681855291e-08	0.00115282549533689	0.000254448301557587
cliente_vip	2.22489453514294e-08	0.000783849387722634	0.000254448301557587
cprestamos_hipotecarios	1.35360986739762e-08	0.00017108087620708	7.26995147307392e-05
cforex_buy	9.68772282574845e-09	0.000371757185726255	0.000127224150778794
mplazo_fijo_pesos	7.34142539112473e-09	0.000261790237115371	7.26995147307392e-05
mcheques_emitidos_rechazados	4.83311649305995e-09	0.00018167149378332	3.63497573653696e-05
mcuenta_corriente_adicional	4.01529103547381e-09	9.48235032439496e-05	3.63497573653696e-05
ccheques_emitidos_rechazados	2.56822398910278e-09	9.17726453066586e-05	1.81748786826848e-05
mcheques_depositados_rechazados	7.49136227847849e-10	2.75797088348804e-05	1.81748786826848e-05
