Feature	Gain	Cover	Frequency
Master_fechaalta	0.142079638304795	0.0111290087454108	0.0270836422957141
mpasivos_margen	0.0894916412566925	0.0191932964524393	0.029790152751001
ctrx_quarter	0.0708315995067049	0.0242136595972638	0.0346655791190865
chomebanking_trx	0.0524653156289664	0.0147887649209025	0.0221155272134065
mpayroll	0.0480040832703736	0.110471979051926	0.0345728904048643
Visa_mpagospesos	0.0476804077859572	0.0178089157814105	0.0208178852142963
Visa_msaldopesos	0.0476642763011802	0.0455315956138649	0.019946611300608
mtransferencias_recibidas	0.0421376300394019	0.00828554034869416	0.0135696277621237
ctarjeta_visa_trx	0.0398863946949997	0.0160016088273235	0.00943571110781551
Visa_fechaalta	0.0364260729053814	0.0110094712463445	0.0212627910425627
Visa_mpagominimo	0.0243922745211627	0.0342626137878526	0.0250074150971378
Visa_mconsumospesos	0.0242899591551444	0.0499491336392697	0.0274914726382916
Visa_msaldototal	0.0241388546681259	0.0550398153350436	0.0254708586682486
mtarjeta_visa_consumo	0.0201828045440213	0.0569133231626431	0.0267870384102032
Master_Fvencimiento	0.0185706801466259	0.00687494357022472	0.0261196796678037
Master_mpagospesos	0.0177382962256028	0.00917843469300506	0.00863858816550497
cliente_antiguedad	0.0164245428129819	0.00633901502483474	0.025359632211182
mcaja_ahorro	0.0156154690006619	0.00878024118449876	0.0188899599584755
cliente_edad	0.015491330701754	0.00822653065811829	0.0289930298086905
ccomisiones_otras	0.0111690270387258	0.00545299569242179	0.0101957585644372
Master_mlimitecompra	0.0110889621044767	0.00183044955602794	0.00144594394186564
mcuentas_saldo	0.0105835802943846	0.00944827890999976	0.0231907162983835
numero_de_cliente	0.00964478707625897	0.00815175651805216	0.0329044935488655
mactivos_margen	0.00950723499085265	0.0105493262279319	0.0248961886400712
Visa_mlimitecompra	0.00943835529610635	0.00347147414789643	0.00300311434079786
mrentabilidad	0.00943529958527176	0.0102280306095531	0.0249518018686045
Visa_cconsumos	0.00788965096892815	0.0138645733707298	0.00945424885065994
Master_mfinanciacion_limite	0.00778544994933385	0.00387357289671737	0.0200763755005191
