Feature	Gain	Cover	Frequency
ctrx_quarter	0.116767603124494	0.0328386509982591	0.0212134535062651
cpayroll_trx	0.0834470164380647	0.0300544606011721	0.00626511321169488
mpasivos_margen	0.0747646197934028	0.0188753863300003	0.0162673114970323
mpayroll	0.0525496910604268	0.0430297875945106	0.00912288415036272
mcaja_ahorro	0.0460858794071915	0.018850421847134	0.0234117388437019
ctarjeta_visa_trx	0.0319132541890682	0.0102038568465256	0.00945262695097824
mtarjeta_visa_consumo	0.0317323469566068	0.0112813440255579	0.00791382721477248
Visa_msaldototal	0.0290585597799289	0.00800574999740703	0.00956254121785008
Visa_msaldopesos	0.0280201411598573	0.0161295523798935	0.0141789404264674
mcuentas_saldo	0.0269553586108417	0.0319347410223422	0.0312156517916026
mprestamos_personales	0.0253682549644629	0.0214350074520833	0.00846339854913168
mactivos_margen	0.0237371060162831	0.0218716690497434	0.0238513959111893
mrentabilidad_annual	0.0220971394051813	0.027536067899416	0.0304462519234997
Master_Fvencimiento	0.0170688946464381	0.0207405346779754	0.039129479006375
mcuenta_corriente	0.0164359136694432	0.0135721473845735	0.0284677951198066
Master_fechaalta	0.0154932206954242	0.020685184399756	0.0331941085952957
cliente_edad	0.0149538164904161	0.0257438666166298	0.0325346229940646
Master_mfinanciacion_limite	0.014850734797509	0.0154343497120069	0.0322048801934491
Visa_fechaalta	0.0145502992065934	0.0169122682540312	0.0291272807210376
Visa_Fvencimiento	0.014459721806012	0.0140400516094139	0.0318751373928336
cliente_antiguedad	0.0142924725569096	0.0128774947815636	0.0290173664541658
numero_de_cliente	0.0133470803380253	0.0146355973310789	0.0283578808529347
chomebanking_trx	0.012351644667977	0.0183139446306917	0.0207737964387778
ccomisiones_otras	0.0123175372059876	0.0165991226666202	0.0181358540338536
Visa_mfinanciacion_limite	0.0106923384626555	0.0130389070883671	0.0224225104418554
mcaja_ahorro_dolares	0.0105946941912682	0.0165996462860701	0.0193449109694438
mrentabilidad	0.0104727739666617	0.0141855384802195	0.0207737964387778
mcomisiones_otras	0.0103588518964414	0.0101381399610143	0.0193449109694438
mcomisiones	0.0102688102287967	0.010353252351407	0.0186854253682128
Visa_mpagominimo	0.00997262581602462	0.00774030138170955	0.0142888546933392
Visa_mlimitecompra	0.00973074496127849	0.0144457561905028	0.0187953396350846
Master_mlimitecompra	0.0093250738126401	0.0105093649946868	0.019234996702572
Visa_mpagospesos	0.00904617998995189	0.0112240050512458	0.0201143108375467
mtransferencias_recibidas	0.00820927206627091	0.00721004941872767	0.0156078258958013
Master_mpagospesos	0.00749010978932129	0.0187956216337914	0.0104418553528248
Visa_mconsumospesos	0.00731168971094669	0.00912784532230673	0.0179160255001099
ctarjeta_debito_trx	0.00648724394390446	0.00632404299673081	0.00571554187733568
mcomisiones_mantenimiento	0.00643102542769706	0.0104863204498037	0.00846339854913168
mpagomiscuentas	0.00635546459870154	0.0111159490374835	0.00571554187733568
cproductos	0.00585481987779151	0.0086456394106717	0.0087931413497472
mtarjeta_visa_debitos_automaticos	0.00550665431926403	0.00680017703838057	0.0098922840184656
cprestamos_personales	0.00510088761983116	0.00118513064413703	0.00175862826994944
ctransferencias_recibidas	0.00498566520969911	0.0165454172939456	0.00846339854913168
ctarjeta_visa_trx2	0.00498546967108816	0.00641401562767107	0.010991426687184
mcuenta_debitos_automaticos	0.00476500811744177	0.00561710384844587	0.0060452846779512
Visa_mconsumototal	0.00427745835803988	0.00426957712762965	0.0087931413497472
Visa_mpagado	0.00423767662885989	0.0178848834486838	0.0104418553528248
ccaja_ahorro	0.00405775132611678	0.0215330935399551	0.00560562761046384
ctarjeta_debito	0.00401885765887561	0.00772759699869159	0.00802374148164432
mautoservicio	0.00384470033683502	0.00918800337911201	0.00978236975159376
mtransferencias_emitidas	0.00370751668224589	0.00639972451904721	0.0105517696196966
Visa_cconsumos	0.00354188796381441	0.00443072498016553	0.0107715981534403
ccaja_seguridad	0.00316307800445492	0.0112537826017833	0.00296768520553968
ccallcenter_trx	0.00266976739921444	0.0136208598606748	0.00560562761046384
