Feature	Gain	Cover	Frequency
ctrx_quarter	0.113196104479715	0.0363501727536062	0.0339178901576944
mpasivos_margen	0.0753280788452308	0.0282419453473153	0.030247417074497
cpayroll_trx	0.0691257673387292	0.0196689667791275	0.00536976617727026
mpayroll	0.0459697193215925	0.0433567283985007	0.0178765633496465
mcaja_ahorro	0.041048441186436	0.0144394270798581	0.021479064709081
ctarjeta_visa_trx2	0.0302239341046931	0.0141891186067672	0.0188281674823274
mtarjeta_visa_consumo	0.0287672247312349	0.0162948838107008	0.0197117998912452
ctarjeta_visa_trx	0.0270395924570236	0.0137813274212012	0.0181484502446982
mrentabilidad_annual	0.0254061103816203	0.0282481147148369	0.0284121805328983
Visa_msaldopesos	0.025180072443008	0.0197192222536503	0.0222267536704731
mprestamos_personales	0.0224458752445565	0.0286572425574089	0.00890429581294182
mactivos_margen	0.0224010770606993	0.0259384209142436	0.0227025557368135
mcuentas_saldo	0.021751390087759	0.0308663594012033	0.0250135943447526
cliente_edad	0.0169666734864011	0.0235422828883348	0.0269847743338771
Visa_Fvencimiento	0.016390845771962	0.0141664850196158	0.0254214246873301
Master_fechaalta	0.015842420987778	0.0309810690894857	0.026237085372485
chomebanking_trx	0.0155669052000436	0.0170859042253147	0.0223626971179989
mcuenta_corriente	0.0152253433047423	0.0136420298447833	0.0182164219684611
Visa_fechaalta	0.0152215917181612	0.0127896929421153	0.0186242523110386
Master_Fvencimiento	0.0150633523570545	0.0211662654401093	0.0247417074497009
Visa_mpagominimo	0.0139724498227239	0.0128645787383293	0.0185562805872757
numero_de_cliente	0.0138214324792467	0.013160423131576	0.0199836867862969
cliente_antiguedad	0.0132014743985285	0.0122917257357479	0.0185562805872757
mcaja_ahorro_dolares	0.013067460261858	0.0206144641960178	0.0211392060902665
mcomisiones_otras	0.0125644048390553	0.0101423294068275	0.0186922240348015
mcomisiones	0.0120585952803077	0.010960181973192	0.0187601957585644
Visa_mfinanciacion_limite	0.011815145122401	0.015497276765267	0.0184203371397499
Master_mfinanciacion_limite	0.0116973308380112	0.0115290367918542	0.0187601957585644
mrentabilidad	0.011621098561816	0.0130672673321933	0.0176046764545949
Visa_mconsumospesos	0.0104540192146344	0.0120564976768854	0.020731375747689
Master_mlimitecompra	0.0104051803564	0.0113728742344468	0.0173327895595432
ccomisiones_otras	0.00960247732464809	0.0151793362765751	0.0184203371397499
Visa_mpagospesos	0.00959519175506217	0.0116717479120899	0.0172648178357803
Visa_msaldototal	0.00947776504350612	0.0145354636461921	0.0191680261011419
mautoservicio	0.009339164708834	0.0159956588775129	0.0184203371397499
Visa_mlimitecompra	0.00920646246305657	0.0152238514339732	0.0140021750951604
ctarjeta_debito_trx	0.00856605527840199	0.0146910769247946	0.0182164219684611
mtransferencias_recibidas	0.00853846595687473	0.0101223762059475	0.014342033713975
Visa_mconsumototal	0.00831695253125814	0.00695617522712419	0.0112833061446438
mcomisiones_mantenimiento	0.00735791244929233	0.00686020231112381	0.00774877650897227
mtransferencias_emitidas	0.00688269540490486	0.00664116972603803	0.0103996737357259
cprestamos_personales	0.00606160416844987	0.00404115260928461	0.00251495377922784
Master_mpagospesos	0.00580486212359343	0.0167901918475747	0.0088363240891789
cproductos	0.00568632892545398	0.00778873573539446	0.00802066340402393
mtarjeta_visa_debitos_automaticos	0.00562416672839243	0.00811884993974624	0.0097879282218597
ctransferencias_recibidas	0.00555317247690381	0.0124075339816401	0.00802066340402393
mpagomiscuentas	0.00546825549175592	0.0150854708938434	0.00856443719412724
Visa_cconsumos	0.0052968519828657	0.00562509823368155	0.0100598151169114
ccaja_ahorro	0.00436295504409089	0.0180417012091527	0.00502990755845568
Visa_mpagado	0.00384472287958514	0.0131176736815809	0.00686514410005438
Master_msaldopesos	0.00381601202562961	0.00713353570304688	0.00530179445350734
mcuenta_debitos_automaticos	0.00364756489257325	0.00902057714388374	0.00734094616639478
ctransferencias_emitidas	0.00356939101022856	0.00466479150583563	0.00618542686242523
ctarjeta_debito	0.0033270172315913	0.00494558613131085	0.00536976617727026
mextraccion_autoservicio	0.00320413242620539	0.0092085342216443	0.00965198477433388
thomebanking	0.00297493570972401	0.00300952214648765	0.00319467101685699
cpagomiscuentas	0.00284728832148005	0.00820592595355838	0.00598151169113649
ccaja_seguridad	0.00278547558559035	0.0113520794347111	0.0032626427406199
ccomisiones_mantenimiento	0.00276631775339368	0.00221361951554307	0.00394235997824905
Master_msaldototal	0.002718531154176	0.00363075411745993	0.00455410549211528
ccuenta_debitos_automaticos	0.00257138437829675	0.00556672852033211	0.00584556824361066
ctarjeta_visa_debitos_automaticos	0.00256626904121031	0.00315099326392763	0.00448613376835237
Visa_mconsumosdolares	0.00246791396884241	0.0040310581378564	0.00462207721587819
Master_mpagominimo	0.00241517630660207	0.00320101771131354	0.00401033170201196
Master_cconsumos	0.00228357750117074	0.00618895767986443	0.00367047308319739
Master_fultimo_cierre	0.00213848512995162	0.00285188384430815	0.0037384448069603
ccallcenter_trx	0.00211536012633085	0.00863019550327272	0.0032626427406199
cseguro_accidentes_personales	0.00196342117143937	0.00900610258653456	0.00319467101685699
mtarjeta_master_consumo	0.00193728768909577	0.00492540190329396	0.00401033170201196
cextraccion_autoservicio	0.00189561249562235	0.00428049436563475	0.0050978792822186
mplazo_fijo_dolares	0.00179204269228802	0.01296094770085	0.00271886895051659
Master_mconsumospesos	0.00156310819201247	0.00307145392110006	0.00367047308319739
catm_trx	0.00154669925737678	0.00400277853037094	0.0032626427406199
cmobile_app_trx	0.00147365190651137	0.000825848934202981	0.00217509516041327
Visa_fultimo_cierre	0.00131351902377269	0.00163896780168193	0.00265089722675367
