Feature	Gain	Cover	Frequency
ctrx_quarter	0.134481603834872	0.0236615766919889	0.0302866047835219
mtarjeta_visa_consumo	0.0441910947958897	0.0169163603632025	0.018361677620435
mpasivos_margen	0.0424420718149148	0.0191707128498294	0.0271021071888339
cpayroll_trx	0.0391647097629495	0.00917755937573276	0.00237143437902297
mcaja_ahorro	0.0305463694309515	0.0169508619143388	0.0262890439731689
mrentabilidad_annual	0.0296209274226121	0.0317629375133366	0.0312351785351311
mactivos_margen	0.0274326779643323	0.0209935219701021	0.0250694491496714
mcuentas_saldo	0.0263875562803301	0.0269016369942292	0.0284572125482756
cliente_edad	0.0236180404660209	0.0311620827913872	0.0313706890710753
Master_Fvencimiento	0.0229822856189125	0.0221591055697594	0.0310319127312149
Visa_Fvencimiento	0.0223298311911739	0.020928582862225	0.0292702757639406
numero_de_cliente	0.0213722662011254	0.019173074271934	0.0291347652279965
Visa_fechaalta	0.020633802478949	0.018559763374546	0.0235788332542855
mpayroll	0.0196172502573589	0.0166342258694568	0.00616572938545972
cliente_antiguedad	0.0192107823955783	0.022334662952054	0.0264923097770852
Master_fechaalta	0.0191912455479201	0.0212038418341523	0.0264923097770852
Master_mfinanciacion_limite	0.0182305098772518	0.0171518861250766	0.0253404702215597
chomebanking_trx	0.0175963481025183	0.0146681103914344	0.0199200487837929
mcuenta_corriente	0.0171073004633802	0.0200391682300298	0.0178196354766583
Visa_msaldototal	0.0155419320705625	0.00872552643249842	0.0117894166271428
ctarjeta_visa_trx	0.0148816384982341	0.0168380159447591	0.0182939223524629
mrentabilidad	0.0146287094167159	0.0182651172576051	0.016735551189105
Visa_mpagospesos	0.0145606520126332	0.0193784853787087	0.0228335253065926
mprestamos_personales	0.0142197865511431	0.0133693249722596	0.00542042143776679
mcomisiones_otras	0.0135378659767446	0.0128252291832724	0.0201233145877092
Visa_mfinanciacion_limite	0.0131511118396407	0.013139073270528	0.0187004539602954
mcomisiones	0.0130732586675754	0.0133626712414675	0.0186326986923233
Master_mlimitecompra	0.0129873923954117	0.013079437577488	0.0170065722609933
Visa_mlimitecompra	0.0115082210125208	0.0148098739968975	0.0171420827969375
mautoservicio	0.0114787014010911	0.00946381657326334	0.0121281929670032
