Feature	Gain	Cover	Frequency
ctrx_quarter	0.0623609232446776	0.00581517648414583	0.00391256040952374
ctrx_quarter_normalizado	0.0577099015658848	0.00628596337947577	0.00421929423953867
mcaja_ahorro	0.0437245136541045	0.00619699203261386	0.00669361380165909
mdescubierto_preacordado_tend6	0.0367528190484347	0.00198238909688262	0.000674814426032841
mtarjeta_visa_consumo	0.0259214464749892	0.00596280737730572	0.00424655946887333
ctarjeta_visa_trx	0.023729958212602	0.00546329608033829	0.00443059976688229
mcuentas_saldo	0.0219630110049381	0.0108652114350761	0.00771605990170885
mcaja_ahorro_lag1	0.0218902704646596	0.00300020684699998	0.00447149761088428
mv_status07_tend6	0.0202115101639224	0.000821552848089801	0.000327182752015923
mpasivos_margen	0.0195402580423585	0.00556316384840728	0.00443059976688229
cpayroll_trx	0.0161382475461793	0.0063117568608645	0.00116558855405673
mv_status05_tend6	0.0152341279877931	0.00133144532439637	0.00055212089402687
mv_status01_tend6	0.011493277490124	0.00106801517358431	0.00052485566469221
mpayroll	0.0112525328241014	0.00781036412341465	0.00248795217678775
mdescubierto_preacordado	0.0109557111558454	0.000716657503976121	0.000558937201360535
mprestamos_personales	0.0108515984597825	0.0115666740919469	0.0034149699741662
mcaja_ahorro_avg6	0.0101903963747564	0.00348984954649689	0.00530990341292508
mpayroll_sobre_edad	0.00992394136958827	0.00724120362596607	0.00257656417212539
mpasivos_margen_avg6	0.00891630112027089	0.00204384283946439	0.00371488749684746
cproductos_tend6	0.00877352112436669	0.00557648827265869	0.00224256511277581
cprestamos_personales_tend6	0.00869244257089467	0.00256623177090126	0.000988364563381434
mvr_msaldototal	0.00749672379664237	0.00181237014212781	0.00208579004410151
cpayroll_trx_lag1	0.00733901501249131	0.0024170015531513	0.00100881348538243
mcuentas_saldo_tend6	0.0072274026358811	0.00263466122869505	0.00482594559223486
mdescubierto_preacordado_delta1	0.00699872914109563	0.00534182951680541	0.00101562979271609
ctrx_quarter_normalizado_avg6	0.00687594146477628	0.00180308638984071	0.00277423708480168
mes_lag1	0.00686479453939259	0.00690710287926799	0.00663908334298977
mcuenta_corriente	0.00669264578090888	0.00359868665493356	0.00529627079825775
ctrx_quarter_normalizado_lag1	0.00664404348407503	0.0015984299436307	0.00279468600680267
ctrx_quarter_lag1	0.00650711692145938	0.00179913132552112	0.00310823614415127
ctrx_quarter_avg6	0.00638691909112179	0.001927460554295	0.00283558385080467
mcuenta_corriente_tend6	0.00599246718628568	0.00320572624132214	0.00477823144089921
mprestamos_personales_tend6	0.0059227200975978	0.00615700882919551	0.00209260635143517
mv_mpagospesos	0.00518955897655482	0.00138199027677424	0.00213350419543716
foto_mes	0.00512108593842182	0.00569351356832994	0.00697989870967302
mv_Finiciomora	0.00508298834066207	0.00382375868457741	0.000770242728704152
mv_msaldopesos	0.0049176829531523	0.00222131857030792	0.00242660541078476
mdescubierto_preacordado_avg6	0.00471505540886029	0.000911235079769506	0.000906568875377453
mcomisiones_mantenimiento_tend6	0.0046848553008672	0.00518833434481529	0.00398753979019406
mprestamos_personales_lag1	0.00464195681821743	0.00206277502994511	0.00157456699407663
mv_status04	0.00455558459858293	0.000862453086273096	0.000613467660029856
mv_status06_tend6	0.00443564454608163	0.000720474381331129	0.000313550137348593
mcuenta_corriente_lag1	0.00431979779227045	0.00275550069738867	0.0041170496295337
mactivos_margen	0.00417187844755587	0.00426527312974367	0.00524174033958843
ccomisiones_mantenimiento_tend6	0.00383808783152997	0.00443865122030415	0.00193583128276088
Visa_msaldopesos	0.00369525147030033	0.0033022387749178	0.00376260164818311
mcaja_ahorro_dolares_delta1	0.00356303504823081	0.00829758205619972	0.00359901027217515
Visa_Finiciomora	0.00356008411761909	0.00493396685601366	0.000913385182711118
cproductos_delta1	0.0034110803917681	0.0044763606563053	0.000892936260710123
mcuentas_saldo_lag1	0.00325489445664337	0.0055651922752207	0.00599835045362525
mprestamos_personales_avg6	0.00311833380878777	0.00200244957040747	0.00162909745274595
mes	0.00309648360770917	0.00457591689412081	0.00447831391821794
mcuenta_corriente_avg6	0.0030961855826551	0.00452527511776776	0.00666634857232443
mautoservicio	0.00309541637074976	0.00294051162996747	0.00254929894279073
mcaja_ahorro_delta1	0.00306469892232461	0.00678361245525385	0.00444423238154962
mtransferencias_recibidas	0.00306158482992517	0.0042315867210447	0.00351721458417117
mprestamos_personales_delta1	0.00305702619849697	0.00845780343546581	0.00244705433278576
mactivos_margen_avg6	0.00303567576111498	0.00452721394693747	0.0051122305002488
cprestamos_personales_avg6	0.00297033473048099	0.00303254299571172	0.00181313775075491
cpayroll_trx_avg6	0.00297020485871034	0.00333151224474788	0.00164954637474694
ctarjeta_visa_trx_tend6	0.00284932343759415	0.00253281335713359	0.00327182752015923
cliente_edad_avg6	0.00283744456563383	0.00685717003706656	0.00775014143837717
mpayroll_sobre_edad_lag1	0.00282852326100448	0.00200231493010865	0.00177905621408658
mcuentas_saldo_avg6	0.00275618038569936	0.00320160878404418	0.00481231297756753
mrentabilidad_avg6	0.0027551407447117	0.00282406209114864	0.00417839639553668
Master_mfinanciacion_limite	0.00275244007919302	0.00238669210225342	0.00391937671685741
mcuenta_corriente_delta1	0.00271530494429743	0.00385461804600101	0.0036671733455118
cliente_edad_lag1	0.00269226621495043	0.00574186694726955	0.00752520329636623
Visa_mpagospesos	0.00267307116033432	0.00250727297467999	0.00385802995085442
mcuentas_saldo_delta1	0.00264154660585166	0.00720882606993161	0.00510541419291513
mpayroll_lag1	0.00263114777510239	0.00256047876870918	0.00205852481476685
cliente_edad	0.00259983498797357	0.00531331516644741	0.00700034763167402
cprestamos_personales	0.00257348350862231	0.00211204881298213	0.000940650412045778
