Feature	Gain	Cover	Frequency
ctrx_quarter	0.171677049996125	0.0153133631141612	0.0120584567283202
mtarjeta_visa_consumo	0.0453660151593291	0.0121930678411148	0.0150181799019866
mcuentas_saldo	0.0403625432887468	0.012780927905684	0.0184345962656549
mcaja_ahorro	0.0376543143561375	0.00751795040115237	0.0123658463754369
ctrx_quarter_lag1	0.0276993003840067	0.00753462315292405	0.00875621366215243
mdescubierto_preacordado	0.0221744609563683	0.00168572341637581	0.00141399237673675
cpayroll_trx	0.0217345307244879	0.00903886145291938	0.00505875533540602
foto_mes	0.0197239675440323	0.0158155464983215	0.0163092164198767
ctarjeta_visa	0.0166253583023693	0.000640105410809005	0.000720170030387662
mprestamos_personales	0.0155965732750321	0.00784698118854887	0.00309146159385923
mpayroll	0.0141562077038374	0.0125456082019759	0.00573501255906273
Visa_fultimo_cierre_lag1	0.0120975166840843	0.00316810858234898	0.00615657550367989
mcuenta_corriente	0.011854558702505	0.00697049319460159	0.0104863782473521
mdescubierto_preacordado_delta1	0.0114278216522538	0.00367298906410792	0.000913386380003864
mpasivos_margen	0.01045925415504	0.00823352552046731	0.0101087281094658
Master_status	0.009598804487033	0.00178905928985812	0.000851908450580527
cproductos_delta1	0.00875051139113024	0.00405523583216027	0.00128225395654389
numero_de_cliente	0.00872559255496385	0.0094508204316572	0.0165639106989162
mrentabilidad_annual	0.00841479539860719	0.00729280391744636	0.0117861973265883
ctrx_quarter_delta1	0.00830276819236926	0.00669013150282669	0.011724719397165
mactivos_margen	0.00823237345132541	0.0083731159753558	0.0130157559150551
mcaja_ahorro_lag1	0.00816905789509381	0.0049073438048647	0.00955542674465581
cliente_edad_lag1	0.00806042426322787	0.0090909287235193	0.015035745024679
mrentabilidad_annual_delta1	0.00803358971617764	0.00669364116598434	0.0130684512831322
cliente_edad	0.00781635729028132	0.00773972184749537	0.0131826245806327
Visa_fechaalta_lag1	0.00683167620483368	0.00428631096706832	0.00984525126908012
ctarjeta_visa_trx	0.00678739933336576	0.00626184584384372	0.0112592436458169
Master_fechaalta	0.00654127600736244	0.00895299241722029	0.012093586973705
Visa_Fvencimiento_lag1	0.00623091304919982	0.00518393826524299	0.0116105460996645
mcuentas_saldo_delta1	0.0062260386100737	0.00888031189860353	0.0106181166675449
Master_Fvencimiento_lag1	0.00617784108109931	0.00497847448506525	0.0114612425567793
Visa_status	0.00613989236838035	0.000861568202891147	0.000579649048848606
Visa_Fvencimiento	0.00613774409443275	0.00764522675754861	0.0118476752560117
mprestamos_personales_delta1	0.00607064683690656	0.009144526665732	0.00324954769809067
mcuenta_corriente_lag1	0.00571643691149348	0.00708642494149514	0.00989794663715726
chomebanking_trx	0.00559921419271312	0.00471765109671786	0.00945003600850152
mrentabilidad	0.00558974844352281	0.00439341979907973	0.00811508668388049
mcaja_ahorro_dolares_delta1	0.00558892451140968	0.00612076518907878	0.00637613953733467
Master_Fvencimiento	0.00558067409455821	0.00522312269491255	0.00983646870773392
Visa_fechaalta	0.00543987673255278	0.0049878120782547	0.010161423477543
Master_fechaalta_lag1	0.00515041883839362	0.00593753154096523	0.0103107270204282
mcomisiones_mantenimiento	0.00505872755301168	0.00653721485059059	0.00475136568828933
mrentabilidad_annual_lag1	0.0050269232784805	0.0066064395410952	0.00905482074792292
mactivos_margen_delta1	0.00468950643628543	0.00451034829611354	0.00801847850907239
mprestamos_personales_lag1	0.0046793638723979	0.00249278229936912	0.00154573079692962
Visa_mpagominimo	0.00465345372968058	0.00703848647525698	0.00944125344715533
ccaja_ahorro	0.004637032330879	0.00391066575010585	0.00295972317366637
mactivos_margen_lag1	0.00462971910441958	0.00642862055313226	0.00822047742003478
mcuenta_corriente_delta1	0.00456858508546207	0.00829971383804406	0.0084927368217667
mcaja_ahorro_delta1	0.00455500217609904	0.00716115019913787	0.00794821801830286
cliente_antiguedad_lag1	0.00448328611552256	0.0047272674867174	0.00882647415292196
mrentabilidad_delta1	0.0043932461568528	0.00405935012778637	0.00788674008887952
Visa_mfinanciacion_limite	0.00433099802854151	0.00423073624780199	0.0066396163777204
mtransferencias_recibidas	0.00415164118012731	0.00493253081725766	0.00690309321810613
cliente_antiguedad	0.00408007193395624	0.00360156255842331	0.00833465071753526
Visa_mpagospesos_lag1	0.00407431949832753	0.00532582132945204	0.00834343327888145
mcuentas_saldo_lag1	0.00385931983445071	0.0081603375015493	0.0077110888619557
chomebanking_trx_delta1	0.00385534389968391	0.00690640536014048	0.00706996188368376
Visa_mpagominimo_lag1	0.00385272959688922	0.00505479845265486	0.00656057332560468
mrentabilidad_lag1	0.00372468408580098	0.00338057328565626	0.00741248177618521
Master_mfinanciacion_limite	0.00372453811584694	0.0046318846148714	0.0071314398131071
cproductos	0.00364021710124461	0.00702755704467965	0.0077110888619557
Visa_mpagospesos_delta1	0.00359794398194379	0.00527063888058105	0.00807995643849572
Visa_fultimo_cierre	0.00348485168186993	0.00392860534358648	0.0065430082029123
ccomisiones_mantenimiento_delta1	0.00346596465886205	0.00522175811014226	0.00138764469269818
